,Date,Open,High,Low,Close,Adj_Close,Volume,SlowD,SlowK,WILLR,MACD,MACD_Signal,MACD_Hist,RSI,ADX,CCI,Chaikin A/D,OBV
16,2000-03-10,5.35,5.7,5.22,5.7,1.076,427000,5.5698,6.7227,-85.1393,-0.0585,0.2746,-0.3332,33.0235,15.3828,-139.1803,-6374200.5624,-2364000.0000
17,2000-03-13,6.02,6.15,5.3,5.53,1.0439,230255,7.5094,12.2191,-90.2516,-0.1221,0.1953,-0.3174,41.0246,15.5801,-99.7351,-6479846.9741,-2594255.0000
18,2000-03-14,5.6,5.97,5.54,5.96,1.1251,241300,15.9425,28.8858,-74.3056,-0.2040,0.1154,-0.3194,37.8733,15.7577,-67.7175,-6249770.2300,-2352955.0000
19,2000-03-15,5.74,6.1,5.74,5.96,1.1251,151005,29.9305,48.6864,-74.3056,-0.2547,0.0414,-0.2961,39.5919,15.4612,-46.9242,-6216213.5633,-2352955.0000
20,2000-03-16,5.86,6.42,5.71,6.07,1.1458,543925,48.1244,66.8011,-64.2857,-0.2819,-0.0232,-0.2586,41.1426,14.1104,-20.6103,-6208552.6478,-1809030.0000
21,2000-03-21,5.7,6.55,5.7,6.32,1.193,119000,35.3028,32.1628,-5.6716,-0.9627,-0.4849,-0.4778,51.2620,22.9964,51.1530,-6153952.6478,-1690030.0000
22,2000-03-22,6.4,6.46,6.2,6.38,1.2044,150505,40.1350,64.6310,-2.5954,-0.7576,-0.5395,-0.2182,53.8527,22.0770,56.6345,-6096066.1093,-1539525.0000
23,2000-03-23,6.5,6.54,6.01,6.23,1.176,158000,64.3766,96.3359,-4.8855,-0.5804,-0.5477,-0.0327,54.2388,21.0567,51.5126,-6122896.2980,-1697525.0000
24,2000-03-24,6.1,6.38,6.0,6.11,1.1534,338495,85.4114,95.2672,-6.7176,-0.4668,-0.5315,0.0647,52.2942,20.1273,45.3795,-6265420.5085,-2036020.0000
25,2000-03-27,6.58,6.58,6.14,6.2,1.1704,116500,91.1138,81.7384,-5.7751,-0.3341,-0.4920,0.1579,54.4706,19.4809,47.4525,-6350147.7813,-1919520.0000
26,2000-03-28,6.37,6.6,6.12,6.6,1.2459,95125,86.7908,83.3669,-0.0000,-0.2432,-0.4422,0.1991,53.2888,18.8991,49.2668,-6255022.7813,-1824395.0000
27,2000-03-29,6.6,7.12,6.6,7.1,1.3403,145000,83.3720,85.0108,-0.2809,-0.1508,-0.3840,0.2331,54.4904,18.9337,61.4127,-6121176.6274,-1679395.0000
28,2000-03-30,7.5,7.65,7.0,7.45,1.4063,173870,87.9140,95.3644,-2.6144,-0.0049,-0.3081,0.3032,59.0683,19.5158,69.3839,-6054303.5505,-1505525.0000
29,2000-03-31,7.2,8.04,7.2,7.91,1.4932,327505,91.1609,93.1074,-1.6169,0.0855,-0.2294,0.3149,56.9467,20.4372,97.3083,-5828169.1457,-1178020.0000
30,2000-04-03,8.5,8.54,7.4,7.8,1.4724,480885,90.6605,83.5098,-26.0563,0.2591,-0.1317,0.3908,63.2944,21.7653,133.0169,-5971590.9878,-1658905.0000
